0 verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
1 info using npm@11.6.2
2 info using node@v24.13.0
3 silly config load:file:C:\Program Files\nodejs\node_modules\npm\npmrc
4 silly config load:file:E:\tidymind\TidyMind\.npmrc
5 silly config load:file:C:\Users\Admin\.npmrc
6 silly config load:file:C:\Program Files\nodejs\node_global\etc\npmrc
7 verbose title npm outdated katex react-native @types/katex @react-native/typescript-config @react-native/babel-preset react @react-native/metro-config @react-native-community/cli-platform-android react-test-renderer @types/react-test-renderer @react-native/new-app-screen @react-native-community/cli eslint react-native-gesture-handler react-native-safe-area-context @react-native-documents/picker @types/jest @react-native/jest-preset typescript @react-navigation/native marked @react-native-community/cli-platform-ios @react-navigation/bottom-tabs @babel/runtime @babel/preset-env jest prettier openai react-native-screens @babel/core @react-native/eslint-config @react-navigation/native-stack @types/react @react-native-async-storage/async-storage react-native-image-picker
8 verbose argv "outdated" "--json" "katex" "react-native" "@types/katex" "@react-native/typescript-config" "@react-native/babel-preset" "react" "@react-native/metro-config" "@react-native-community/cli-platform-android" "react-test-renderer" "@types/react-test-renderer" "@react-native/new-app-screen" "@react-native-community/cli" "eslint" "react-native-gesture-handler" "react-native-safe-area-context" "@react-native-documents/picker" "@types/jest" "@react-native/jest-preset" "typescript" "@react-navigation/native" "marked" "@react-native-community/cli-platform-ios" "@react-navigation/bottom-tabs" "@babel/runtime" "@babel/preset-env" "jest" "prettier" "openai" "react-native-screens" "@babel/core" "@react-native/eslint-config" "@react-navigation/native-stack" "@types/react" "@react-native-async-storage/async-storage" "react-native-image-picker"
9 verbose logfile logs-max:10 dir:E:\tidymind\TidyMind\%LOCALAPPDATA%\npm-cache\_logs\2026-06-05T11_59_39_146Z-
10 verbose logfile E:\tidymind\TidyMind\%LOCALAPPDATA%\npm-cache\_logs\2026-06-05T11_59_39_146Z-debug-0.log
11 silly logfile start cleaning logs, removing 1 files
12 silly packumentCache heap:4496293888 maxSize:1124073472 maxEntrySize:562036736
13 silly logfile done cleaning log files
14 http fetch GET 200 https://registry.npmjs.org/react 1683ms (cache revalidated)
15 http fetch GET 200 https://registry.npmjs.org/react-native 1700ms (cache revalidated)
16 http fetch GET 200 https://registry.npmjs.org/react-native 1726ms (cache revalidated)
17 http fetch GET 200 https://registry.npmjs.org/react-native 1752ms (cache revalidated)
18 http fetch GET 200 https://registry.npmjs.org/react-native 1782ms (cache revalidated)
19 http fetch GET 200 https://registry.npmjs.org/react-native 1809ms (cache revalidated)
20 http fetch GET 200 https://registry.npmjs.org/react-native 1843ms (cache revalidated)
21 http fetch GET 200 https://registry.npmjs.org/@react-native%2fbabel-preset 1882ms (cache revalidated)
22 http fetch GET 200 https://registry.npmjs.org/react 1891ms (cache revalidated)
23 http fetch GET 200 https://registry.npmjs.org/@react-native%2fbabel-preset 1902ms (cache revalidated)
24 http fetch GET 200 https://registry.npmjs.org/react 1911ms (cache revalidated)
25 http fetch GET 200 https://registry.npmjs.org/react-native 1928ms (cache revalidated)
26 http fetch GET 200 https://registry.npmjs.org/react-native 1954ms (cache revalidated)
27 http fetch GET 200 https://registry.npmjs.org/@react-native%2ftypescript-config 1989ms (cache revalidated)
28 http fetch GET 200 https://registry.npmjs.org/react 1997ms (cache revalidated)
29 http fetch GET 200 https://registry.npmjs.org/react 2010ms (cache revalidated)
30 http fetch GET 200 https://registry.npmjs.org/react 2022ms (cache revalidated)
31 http fetch GET 200 https://registry.npmjs.org/react 2035ms (cache revalidated)
32 http fetch GET 200 https://registry.npmjs.org/@types%2fkatex 2052ms (cache revalidated)
33 http fetch GET 200 https://registry.npmjs.org/@react-native%2fmetro-config 2052ms (cache revalidated)
34 http fetch GET 200 https://registry.npmjs.org/react 2064ms (cache revalidated)
35 http fetch GET 200 https://registry.npmjs.org/react 2077ms (cache revalidated)
36 http fetch GET 200 https://registry.npmjs.org/react 2089ms (cache revalidated)
37 http fetch GET 200 https://registry.npmjs.org/react 2102ms (cache revalidated)
38 http fetch GET 200 https://registry.npmjs.org/react 2116ms (cache revalidated)
39 http fetch GET 200 https://registry.npmjs.org/react 2134ms (cache revalidated)
40 http fetch GET 200 https://registry.npmjs.org/@react-native-community%2fcli-platform-android 2145ms (cache revalidated)
41 http fetch GET 200 https://registry.npmjs.org/katex 2166ms (cache revalidated)
42 http fetch GET 200 https://registry.npmjs.org/react 2173ms (cache revalidated)
43 http fetch GET 200 https://registry.npmjs.org/react 2182ms (cache revalidated)
44 http fetch GET 200 https://registry.npmjs.org/eslint 2185ms (cache revalidated)
45 http fetch GET 200 https://registry.npmjs.org/react 2197ms (cache revalidated)
46 http fetch GET 200 https://registry.npmjs.org/react 2206ms (cache revalidated)
47 http fetch GET 200 https://registry.npmjs.org/@types%2freact-test-renderer 2210ms (cache revalidated)
48 http fetch GET 200 https://registry.npmjs.org/eslint 2211ms (cache revalidated)
49 http fetch GET 200 https://registry.npmjs.org/eslint 2221ms (cache revalidated)
50 http fetch GET 200 https://registry.npmjs.org/@react-native-community%2fcli-platform-android 2231ms (cache revalidated)
51 http fetch GET 200 https://registry.npmjs.org/eslint 2231ms (cache revalidated)
52 http fetch GET 200 https://registry.npmjs.org/@types%2freact-test-renderer 2237ms (cache revalidated)
53 http fetch GET 200 https://registry.npmjs.org/@react-native%2fmetro-config 2239ms (cache revalidated)
54 http fetch GET 200 https://registry.npmjs.org/eslint 2241ms (cache revalidated)
55 http fetch GET 200 https://registry.npmjs.org/react-test-renderer 2250ms (cache revalidated)
56 http fetch GET 200 https://registry.npmjs.org/eslint 2275ms (cache revalidated)
57 http fetch GET 200 https://registry.npmjs.org/eslint 2279ms (cache revalidated)
58 http fetch GET 200 https://registry.npmjs.org/react-native-safe-area-context 2282ms (cache revalidated)
59 http fetch GET 200 https://registry.npmjs.org/eslint 2287ms (cache revalidated)
60 http fetch GET 200 https://registry.npmjs.org/react-native-safe-area-context 2288ms (cache revalidated)
61 http fetch GET 200 https://registry.npmjs.org/eslint 2291ms (cache revalidated)
62 http fetch GET 200 https://registry.npmjs.org/react-native-safe-area-context 2298ms (cache revalidated)
63 http fetch GET 200 https://registry.npmjs.org/@react-native-community%2fcli 2302ms (cache revalidated)
64 http fetch GET 200 https://registry.npmjs.org/react-native-gesture-handler 2302ms (cache revalidated)
65 http fetch GET 200 https://registry.npmjs.org/typescript 2309ms (cache revalidated)
66 http fetch GET 200 https://registry.npmjs.org/eslint 2337ms (cache revalidated)
67 http fetch GET 200 https://registry.npmjs.org/eslint 2341ms (cache revalidated)
68 http fetch GET 200 https://registry.npmjs.org/typescript 2358ms (cache revalidated)
69 http fetch GET 200 https://registry.npmjs.org/react-native-safe-area-context 2410ms (cache revalidated)
70 http fetch GET 200 https://registry.npmjs.org/@react-native%2fjest-preset 2410ms (cache revalidated)
71 http fetch GET 200 https://registry.npmjs.org/@react-native%2fjest-preset 2411ms (cache revalidated)
72 http fetch GET 200 https://registry.npmjs.org/@types%2fjest 2411ms (cache revalidated)
73 http fetch GET 200 https://registry.npmjs.org/@react-native%2fnew-app-screen 2417ms (cache revalidated)
74 http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fnative 2411ms (cache revalidated)
75 http fetch GET 200 https://registry.npmjs.org/@react-native-community%2fcli 2421ms (cache revalidated)
76 http fetch GET 200 https://registry.npmjs.org/@react-native-community%2fcli-platform-ios 2416ms (cache revalidated)
77 http fetch GET 200 https://registry.npmjs.org/@react-navigation%2fnative 2418ms (cache revalidated)
78 http fetch GET 200 https://registry.npmjs.org/typescript 2429ms (cache revalidated)
79 http fetch GET 200 https://registry.npmjs.org/typescript 2456ms (cache revalidated)
80 http fetch GET 200 https://registry.npmjs.org/typescript 2486ms (cache revalidated)
81 http fetch GET 200 https://registry.npmjs.org/typescript 2520ms (cache revalidated)
82 http fetch GET 200 https://registry.npmjs.org/typescript 2561ms (cache revalidated)
